matricula;status;lat;lon
4445NOZ;1;37;3
8331QGX;3;37;3
7658KMT;3;37;3
5921KRL;3;37;3
1246RYQ;1;37;3
5390EAX;1;37;3
7641FCU;2;37;3
0434RYL;3;37;3
3744FAK;2;37;3
8812DIX;3;37;3
4937TML;0;96;111
7064DHM;3;37;3
7848ISZ;3;37;3
8371GEZ;2;37;3
5253MUG;3;37;3
9205NRZ;0;96;111
2241HVF;2;37;3
7232PFO;1;37;3
0520DLR;2;37;3
3320SWF;1;37;3
4907FBM;1;37;3
7601PVE;2;37;3
6141FML;2;37;3
0712KKX;3;37;3
0142YDI;2;37;3
3839DLR;0;96;111
4445EQV;0;96;111
6942WEU;0;96;111
0703UYI;3;37;3
6800HWQ;1;37;3
8613XNV;1;37;3
7359JUR;3;37;3
7969ZOQ;0;96;111
8779UYH;0;96;111
4241JZP;1;37;3
5403LAF;3;37;3
8845LAX;0;96;111
5009MNM;1;37;3
8549TMB;0;96;111
3737OWL;1;37;3
3403BIT;1;37;3
5050LGE;2;37;3
3536WZR;0;96;111
2844WZT;1;37;3
2157ZDX;3;37;3
9132TQN;2;37;3
0256YLR;3;37;3
0456WOV;1;37;3
5531NLN;2;37;3
7614OBD;2;37;3
5930LJV;2;37;3
5400FFZ;0;96;111
7070CJO;3;37;3
6902NWN;0;96;111
5755SMA;1;37;3
2809FXX;1;37;3
0572BNM;0;96;111
7504SOE;1;37;3
9469QLW;3;37;3
3881EDS;1;37;3
6488YFB;3;37;3
6174CBP;3;37;3
4874BSJ;1;37;3
4135LLA;0;96;111
1911PHK;1;37;3
4274WAI;3;37;3
0725WHM;0;96;111
8921CLP;3;37;3
6165NOT;3;37;3
2654PQZ;1;37;3
4178UVQ;1;37;3
5433XWR;0;96;111
2330FUU;3;37;3
8457LWT;1;37;3
5801XJV;1;37;3
6000QOI;2;37;3
9316BAS;2;37;3
5487TWV;1;37;3
4994JEC;2;37;3
2775IEN;2;37;3
2793LMZ;0;96;111
3174ERA;2;37;3
0747XMT;2;37;3
1500YFM;3;37;3
3651VJM;1;37;3
6223RFH;0;96;111
1721FWH;1;37;3
1119AQE;2;37;3
9484ZVZ;0;96;111
7289OFB;1;37;3
9832FHI;2;37;3
0189DDK;3;37;3
8447ZYI;1;37;3
8741LFT;2;37;3
2822RED;3;37;3
1536MKC;3;37;3
8614BGO;2;37;3
9452YAS;3;37;3
8763FBN;0;96;111
8691TAL;3;37;3
6602YNY;0;96;111
9026JLN;3;37;3
2133MSF;0;96;111
4296QPT;2;37;3
9381TEK;0;96;111
9793OCR;3;37;3
8099WBE;0;96;111
2862NRY;2;37;3
0981WCB;2;37;3
1612JUX;1;37;3
8896ISX;1;37;3
0831ERD;1;37;3
9410OIG;1;37;3
6427MRF;1;37;3
9662PKX;3;37;3
6718TOC;0;96;111
4589QWW;2;37;3
0366XCR;0;96;111
7701RRR;0;96;111
0609VSJ;3;37;3
5801VLD;2;37;3
7709OTQ;1;37;3
6886FBS;2;37;3
6596IUK;0;96;111
0172MWM;3;37;3
3771DCY;0;96;111
5574BJD;1;37;3
9079KPH;0;96;111
6565ORC;2;37;3
8005DBT;0;96;111
5604DXQ;0;96;111
1947ZSC;1;37;3
6166XVD;0;96;111
2135ZOS;1;37;3
2616HOY;3;37;3
9776VSR;0;96;111
5480PXQ;3;37;3
3916BWC;1;37;3
5364FNA;1;37;3
8666GUR;3;37;3
4218QGC;2;37;3
5743BDW;1;37;3
7883SXL;2;37;3
0052UME;1;37;3
7231HKJ;2;37;3
8066QEF;1;37;3
0506LOE;1;37;3
8541CWE;1;37;3
3049YGR;2;37;3
1013UKS;2;37;3
4189DJX;3;37;3
8552KRW;0;96;111
6947OIX;2;37;3
2022ZRD;2;37;3
9096TMK;3;37;3
3207XJV;2;37;3
2786CDD;3;37;3
7309SBZ;0;96;111
1872FAP;3;37;3
6224HSQ;2;37;3
2912WPD;3;37;3
0919LVR;2;37;3
4838RSS;3;37;3
9352BBQ;2;37;3
9203FZM;0;96;111
3048OFT;3;37;3
1196SCJ;2;37;3
1534YED;2;37;3
2539TJM;0;96;111
6947FMP;2;37;3
7472QDC;1;37;3
0855RVJ;0;96;111
7073JIQ;1;37;3
4601ZOH;1;37;3
2857OZK;1;37;3
0867TDQ;3;37;3
2792EQL;3;37;3
6414VBP;2;37;3
0108QHZ;2;37;3
3333LNH;0;96;111
3195DDM;0;96;111
4144LOO;0;96;111
0243NHR;1;37;3
4736KJL;1;37;3
0836EAA;2;37;3
5949GHD;1;37;3
1725LXI;2;37;3
8413WSJ;2;37;3
4840HJZ;2;37;3
5218ZUD;3;37;3
2234XHG;0;96;111
9326PMP;1;37;3
9692CWA;3;37;3
4269SDA;2;37;3
2077SWL;3;37;3
3072QJD;0;96;111
6244RKZ;1;37;3
1598ATC;3;37;3
4642QTN;3;37;3
6822WYH;0;96;111
2441WUB;1;37;3
9603GEM;1;37;3
9462EAC;1;37;3
3987MIW;3;37;3
7079SLO;2;37;3
6642KAP;2;37;3
4302UFG;2;37;3
0607VKL;3;37;3
1727QJC;1;37;3
8931FHS;0;96;111
8680TUH;2;37;3
4999GVK;0;96;111
0395KAX;2;37;3
0479TOH;0;96;111
8937WEF;2;37;3
4385EQL;1;37;3
4563WTK;1;37;3
3709JBT;2;37;3
5386KDU;0;96;111
2120EWY;2;37;3
1454JEB;2;37;3
0108VWN;2;37;3
1473DLD;1;37;3
8765BKZ;2;37;3
9651LIZ;0;96;111
0187OBR;1;37;3
1720UUG;2;37;3
7972SEL;2;37;3
0330GHO;3;37;3
8233SQJ;2;37;3
5732ETS;3;37;3
4337OKD;0;96;111
6820RTI;2;37;3
7450YBG;0;96;111
7530MJA;1;37;3
3766DFP;3;37;3
3279FRI;3;37;3
0163PGK;0;96;111
8194PQX;0;96;111
7926WDX;3;37;3
8924YWM;3;37;3
8667IXO;1;37;3
9913ZIN;0;96;111
0902FDI;1;37;3
4060CYJ;0;96;111
0021CFD;3;37;3
8239SAC;3;37;3
5264KWO;1;37;3
5467YQT;3;37;3
8611FZW;1;37;3
9227UAU;2;37;3
8675SLN;3;37;3
4637IGS;2;37;3
2454PVO;1;37;3
8207JGW;2;37;3
3796WJC;0;96;111
3570DDJ;1;37;3
4814XOY;1;37;3
0221CWQ;1;37;3
6646PZT;0;96;111
9460PTO;1;37;3
9353ENE;2;37;3
5539NKY;2;37;3
5283HDH;3;37;3
0417HBX;1;37;3
8222DFQ;1;37;3
3121UTP;3;37;3
1724ARZ;1;37;3
9321VFT;2;37;3
1953RKY;0;96;111
6788NGR;1;37;3
5720MLB;3;37;3
0555WKP;1;37;3
2240IHY;0;96;111
2014KSC;3;37;3
3349TRF;0;96;111
5209QTP;0;96;111
5318MRQ;0;96;111
3898BWF;1;37;3
7079AJK;3;37;3
2894RPH;1;37;3
7857OYB;1;37;3
4431IFS;0;96;111
6867WBU;2;37;3
8433RSQ;1;37;3
7020PAN;2;37;3
6622BOO;3;37;3
6310EHU;0;96;111
6970QHQ;1;37;3
3597ZMX;3;37;3
2614GPP;0;96;111
8625AQM;2;37;3
0921UUE;3;37;3
9020EDM;1;37;3
0962BMF;1;37;3
1645AIF;0;96;111
2376PTT;1;37;3
5223SXZ;3;37;3
8642RQA;3;37;3
8417IKW;2;37;3
1163HIZ;0;96;111
6460DJS;1;37;3
9002XSR;3;37;3
5381DHG;0;96;111
0248GFV;0;96;111
6646BYU;0;96;111
9369UVH;0;96;111
0975DLC;1;37;3
3727HLH;3;37;3
8867HWK;0;96;111
1190OJD;1;37;3
2116CEF;0;96;111
7283PAN;0;96;111
4023YWC;2;37;3
8430SMA;0;96;111
4773CAF;1;37;3
8610GEM;2;37;3
7800CWU;1;37;3
3330MJB;1;37;3
2726ZYY;1;37;3
7787QRU;0;96;111
1336KJY;1;37;3
2706NHE;3;37;3
7247JKC;1;37;3
2425QUD;2;37;3
1123GLI;2;37;3
9314HEG;3;37;3
6850XAS;2;37;3
0002JEU;2;37;3
1422MXW;1;37;3
4002SKK;2;37;3
1424FYQ;3;37;3
1383LOK;3;37;3
4034UIO;0;96;111
8213SGX;2;37;3
4904STO;1;37;3
6489VIX;1;37;3
8822ZSU;2;37;3
1813YBQ;3;37;3
5655UIJ;1;37;3
5857WBF;1;37;3
1702MLJ;3;37;3
6983QQW;1;37;3
8105JTA;0;96;111
8399RBA;2;37;3
8457UHH;0;96;111
4234FCX;2;37;3
4165INA;0;96;111
4411BLI;1;37;3
2987OBZ;3;37;3
9555SVF;1;37;3
6117QJL;0;96;111
2880WQP;1;37;3
3268URV;1;37;3
8871VJO;0;96;111
7137PHR;3;37;3
4432WRB;0;96;111
0418VHX;0;96;111
8803PCM;0;96;111
3316DLR;1;37;3
4218QUR;1;37;3
0513ION;1;37;3
4837CUS;3;37;3
2803GUB;1;37;3
9650VXX;2;37;3
8621VAT;0;96;111
8758KXO;1;37;3
5332MGI;1;37;3
1295VQD;3;37;3
8073QRC;0;37;3
